class,explanation
Y02A10,水资源保护适应技术
Y02A20,农业、林业、畜牧业或农产品生产中的气候适应技术
Y02A30,基础设施或其运营的气候适应或保护技术
Y02A40,人类健康保护中的气候适应技术
Y02A50,气象学中的气候适应技术
Y02A90,对适应气候变化具有潜在或间接贡献的使能技术
Y02B10,建筑物中可再生能源的整合技术
Y02B20,照明技术领域的节能技术
Y02B30,供暖、通风或空调（HVAC）领域的节能技术
Y02B40,提高家用电器能效的技术
Y02B50,电梯、自动扶梯和自动人行道的能效提升技术
Y02B70,提高建筑物或建筑设备能源管理效率的控制和集成技术
Y02B90,建筑能效领域中具有潜在或间接减排贡献的使能技术
Y02C10,二氧化碳（CO2）的捕集或储存技术
Y02C20,二氧化碳以外的温室气体的捕集或处置技术
Y02C90,温室气体捕集与储存领域具有潜在减排贡献的使能技术
Y02D10,信息和通信技术（ICT）设备本身的节能技术
Y02D30,通信网络（特别是无线网络）的节能技术
Y02E10,通过可再生能源（如太阳能、风能、水能、地热能等）的发电技术
Y02E20,具有减排潜力的燃烧技术（如热电联产）
Y02E30,核能发电技术
Y02E40,高效电力生产、传输或分配技术
Y02E50,非化石来源燃料（如生物燃料）的生产技术
Y02E60,能源领域中具有潜在或间接减排贡献的使能技术（如储能、氢能、燃料电池）
Y02E70,用于电网管理的智能电网相关系统及技术
Y02P10,农业、林业、畜牧业或农产品生产相关的减缓气候变化技术
Y02P20,化学工业相关的减缓气候变化技术
Y02P30,炼油和石油化工行业相关的减缓气候变化技术
Y02P40,矿物加工（如金属、水泥、玻璃加工等）相关的减缓气候变化技术
Y02P70,最终工业或消费品生产过程中的减缓气候变化技术
Y02P80,跨行业应用或部门范围内的综合减缓气候变化技术
Y02P90,商品生产或加工领域具有潜在或间接减排贡献的使能技术
Y02T10,公路客货运输相关的减缓气候变化技术（如内燃机改进、电动或混合动力车辆等）
Y02T30,铁路客货运输相关的减缓气候变化技术
Y02T50,航空运输相关的减缓气候变化技术
Y02T70,水路或海运相关的减缓气候变化技术
Y02T90,交通运输领域具有潜在或间接减排贡献的使能技术（如电动汽车充电基础设施）
Y02W10,废水处理相关的减缓气候变化技术
Y02W30,固体废物管理相关的减缓气候变化技术（如材料回收、生物降解处理等）
Y02W90,废水或废物管理领域具有潜在或间接减排贡献的使能技术
